Player_Name,matches,inns,balls,runs,wkts,BBI,bowling_ave,Econ,bowling_SR,5W,10W,balls_bowled,runs_against,odi_year
Ben McDermott,5,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Marnus Labuschagne,30,9,,,2,2/19,98.50,6.38,92.5,0,0,185,197,2022-2022
Marcus Stoinis,60,53,,,40,3/16,42.92,5.87,43.8,0,0,1753,1717,2022-2022
Alex Carey,64,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Cameron Green,15,15,,,11,5/33,34.27,5.02,40.9,1,0,450,377,2022-2022
Sean Abbott,11,11,,,13,3/23,31.92,5.06,37.8,0,0,492,415,2022-2022
Nathan Ellis,4,4,,,5,2/13,30.60,5.46,33.6,0,0,168,153,2022-2022
Fakhar Zaman,70,7,,,1,1/19,111.00,4.93,135.0,0,0,135,111,2022-2022
Imam-ul-Haq,59,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Babar Azam,100,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Saud Shakeel,5,3,,,1,1/14,37.00,4.72,47.0,0,0,47,37,2022-2022
Mohammad Rizwan,57,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Iftikhar Ahmed,12,10,,,8,5/40,41.75,5.38,46.5,1,0,372,334,2022-2022
Khushdil Shah,10,3,,,2,1/50,61.00,6.77,54.0,0,0,108,122,2022-2022
Hasan Ali,60,58,,,91,5/34,30.36,5.75,31.6,4,0,2882,2763,2022-2022
Mohammad Wasim,14,14,,,24,4/36,24.20,5.32,27.2,0,0,655,581,2022-2022
Haris Rauf,22,22,,,39,4/65,28.28,5.85,29.0,0,0,1131,1103,2022-2022
Zahid Mahmood,4,4,,,4,2/59,55.00,6.11,54.0,0,0,216,220,2022-2022
Adam Zampa,79,79,,,131,5/35,28.46,5.42,31.4,1,0,4122,3729,2022-2022
Mitchell Swepson,3,3,,,3,2/53,53.66,6.11,52.6,0,0,158,161,2022-2022
Shaheen Shah Afridi,36,35,,,70,6/35,23.94,5.52,26.0,2,0,1821,1676,2022-2022
Doug Bracewell,21,21,,,26,4/55,32.50,4.99,39.0,0,0,1016,845,2022-2022
Jason Behrendorff,12,12,,,16,5/44,35.50,5.28,40.3,1,0,645,568,2022-2022
Kyle Coetzer,89,10,,,2,1/17,126.50,5.62,135.0,0,0,270,253,2022-2022
Matthew Cross,90,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Calum MacLeod,88,41,,,11,2/26,76.00,5.18,88.0,0,0,968,836,2022-2022
Richie Berrington,112,62,,,34,4/40,39.55,5.20,45.5,0,0,1550,1345,2022-2022
George Munsey,53,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Safyaan Sharif,77,76,,,100,5/33,30.14,4.98,36.2,2,0,3625,3014,2022-2022
Hamza Tahir,31,30,,,40,5/38,25.82,4.26,36.3,1,0,1454,1033,2022-2022
Gavin Main,14,14,,,30,5/52,18.96,5.26,21.6,1,0,649,569,2022-2022
Michael Leask,69,62,,,57,4/24,33.14,5.01,39.6,0,0,2260,1889,2022-2022
Mark Watt,61,60,,,89,5/33,24.62,4.12,35.8,1,0,3190,2192,2022-2022
Dylan Budge,17,8,,,1,1/21,111.00,4.44,150.0,0,0,150,111,2022-2022
Adrian Neill,9,9,,,14,3/32,24.42,4.76,30.7,0,0,431,342,2022-2022
Christopher McBride,18,7,,,3,1/10,33.33,4.54,44.0,0,0,132,100,2022-2022
Steven Taylor,45,40,,,37,4/23,30.37,4.53,40.1,0,0,1487,1124,2022-2022
Sushant Modani,31,2,,,0,-,-,3.00,-,0,0,12,6,2022-2022
Monank Patel,47,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Aaron Jones,43,9,,,0,-,-,5.61,-,0,0,186,174,2022-2022
Gajanand Singh,32,5,,,6,4/15,15.83,5.04,18.8,0,0,113,95,2022-2022
Saiteja Mukkamalla,17,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Nisarg Patel,41,39,,,42,4/30,30.50,4.75,38.4,0,0,1615,1281,2022-2022
Saurabh Netravalkar,48,47,,,73,5/32,22.27,3.96,33.6,2,0,2458,1626,2022-2022
Ali Khan,15,15,,,33,7/32,16.42,4.77,20.6,2,0,681,542,2022-2022
Rusty Theron,18,17,,,31,5/44,21.51,5.13,25.1,1,0,780,667,2022-2022
Nosthush Kenjige,40,39,,,38,3/22,34.92,4.24,49.3,0,0,1876,1327,2022-2022
Chris Greaves,23,19,,,23,5/53,22.73,5.60,24.3,1,0,560,523,2022-2022
Cameron Stevenson,18,17,,,23,3/22,27.91,5.55,30.1,0,0,693,642,2022-2022
Chris Sole,30,30,,,53,4/27,23.67,5.05,28.1,0,0,1490,1255,2022-2022
Teja Nidamanuru,20,1,,,0,-,-,8.00,-,0,0,6,8,2022-2022
Nkrumah Bonner,6,3,,,1,1/29,55.00,5.07,65.0,0,0,65,55,2022-2022
Anderson Phillip,5,5,,,4,2/50,51.75,6.36,48.7,0,0,195,207,2022-2022
Kyle Mayers,25,20,,,14,2/30,41.64,5.58,44.7,0,0,626,583,2022-2022
Rahul Bhatia,2,2,,,2,1/43,45.00,6.06,44.5,0,0,89,90,2022-2022
Shariz Ahmad,11,10,,,13,5/43,31.07,6.24,29.8,1,0,388,404,2022-2022
Keacy Carty,14,3,,,0,-,-,6.72,-,0,0,25,28,2022-2022
Oliver Davidson,1,1,,,0,-,-,3.33,-,0,0,54,30,2022-2022
Zawar Farid,10,7,,,8,4/30,23.37,5.58,25.1,0,0,201,187,2022-2022
Karthik Meiyappan,31,31,,,37,4/37,30.10,5.53,32.6,0,0,1208,1114,2022-2022
Innocent Kaia,17,2,,,0,-,-,4.71,-,0,0,28,22,2022-2022
Donald Tiripano,38,36,,,36,5/63,40.44,5.79,41.8,1,0,1508,1456,2022-2022
Tanaka Chivanga,5,5,,,3,1/38,65.66,5.42,72.6,0,0,218,197,2022-2022
Jayden Seales,7,7,,,4,1/39,80.25,5.81,82.7,0,0,331,321,2022-2022
Shermon Lewis,1,1,,,3,3/67,22.33,6.81,19.6,0,0,59,67,2022-2022
Rahul Jariwala,4,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Rovman Powell,50,15,,,3,1/7,91.66,5.89,93.3,0,0,280,275,2022-2022
Shadab Khan,56,54,,,73,4/28,32.64,5.13,38.1,0,0,2784,2383,2022-2022
Mohammad Nawaz,28,28,,,37,4/19,30.94,4.94,37.5,0,0,1390,1145,2022-2022
Yasir Mohammad,3,3,,,3,2/50,37.66,6.27,36.0,0,0,108,113,2022-2022
Dion Myers,5,1,,,1,1/13,13.00,6.50,12.0,0,0,12,13,2022-2022
Sunil Dhamala,1,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Subash Khakurel,6,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Sushan Bhari,11,11,,,15,4/5,18.20,3.88,28.1,0,0,422,273,2022-2022
Mohammad Haris,5,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mohammad Aadil Alam,6,6,,,6,3/31,27.66,3.77,44.0,0,0,264,166,2022-2022
Shahnawaz Dahani,2,2,,,1,1/36,73.00,4.56,96.0,0,0,96,73,2022-2022
Keemo Paul,30,29,,,34,3/34,36.41,5.92,36.8,0,0,1253,1238,2022-2022
Danushka Gunathilaka,47,22,,,8,3/48,46.37,5.53,50.2,0,0,402,371,2022-2022
Dhananjaya de Silva,76,62,,,41,3/32,39.31,5.06,46.5,0,0,1910,1612,2022-2022
Wanindu Hasaranga,48,47,,,67,6/24,28.77,5.07,34.0,3,0,2279,1928,2022-2022
David Warner,142,1,,,0,-,-,8.00,-,0,0,6,8,2022-2022
Steven Smith,142,40,,,28,3/16,34.67,5.41,38.4,0,0,1076,971,2022-2022
Glenn Maxwell,128,101,,,60,4/46,50.23,5.56,54.1,0,0,3248,3014,2022-2022
Pat Cummins,75,75,,,124,5/70,27.61,5.21,31.7,1,0,3938,3424,2022-2022
Ashton Agar,21,21,,,20,2/31,45.90,5.27,52.2,0,0,1044,918,2022-2022
Jhye Richardson,15,15,,,27,4/26,29.37,5.87,30.0,0,0,810,793,2022-2022
Josh Hazlewood,69,68,,,108,6/52,25.61,4.57,33.5,3,0,3626,2766,2022-2022
Dunith Wellalage,9,8,,,9,3/42,33.66,5.94,34.0,0,0,306,303,2022-2022
Matthew Kuhnemann,4,4,,,6,2/26,31.83,5.02,38.0,0,0,228,191,2022-2022
Jason Roy,116,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Phil Salt,14,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Dawid Malan,18,2,,,1,1/5,17.00,6.80,15.0,0,0,15,17,2022-2022
Jos Buttler,165,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Eoin Morgan,248,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Liam Livingstone,12,7,,,6,2/30,24.16,5.80,25.0,0,0,150,145,2022-2022
Tom Cooper,32,23,,,14,3/11,36.85,4.77,46.3,0,0,649,516,2022-2022
Shane Snater,4,4,,,2,1/41,94.00,7.52,75.0,0,0,150,188,2022-2022
David Willey,64,63,,,84,5/30,31.21,5.58,33.5,1,0,2817,2622,2022-2022
Reece Topley,22,22,,,33,6/24,27.03,5.29,30.6,1,0,1010,892,2022-2022
Sam Curran,23,23,,,26,5/48,36.38,5.86,37.2,1,0,968,946,2022-2022
Moeen Ali,129,119,,,99,4/46,49.89,5.28,56.6,0,0,5606,4940,2022-2022
Adil Rashid,125,119,,,183,5/27,32.20,5.64,34.2,2,0,6263,5894,2022-2022
Tim Pringle,4,4,,,1,1/51,221.00,6.66,199.0,0,0,199,221,2022-2022
Brydon Carse,9,9,,,12,5/61,31.83,5.64,33.8,1,0,406,382,2022-2022
Mitchell Marsh,72,64,,,54,5/33,35.42,5.43,39.0,1,0,2111,1913,2022-2022
Niroshan Dickwella,55,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Paul van Meekeren,13,13,,,15,2/28,36.00,5.56,38.8,0,0,582,540,2022-2022
David Payne,1,1,,,1,1/38,38.00,4.22,54.0,0,0,54,38,2022-2022
Pramod Madushan,1,1,,,1,1/13,13.00,4.33,18.0,0,0,18,13,2022-2022
Josh Inglis,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Simi Singh,35,30,,,39,5/10,25.92,3.99,38.9,1,0,1519,1011,2022-2022
Finn Allen,18,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Glenn Phillips,16,6,,,5,1/9,26.20,6.55,24.0,0,0,120,131,2022-2022
Lockie Ferguson,53,53,,,85,5/45,31.04,5.66,32.8,1,0,2795,2639,2022-2022
Zane Green,33,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Divan la Cock,16,1,,,0,-,-,4.50,-,0,0,12,9,2022-2022
Gudakesh Motie,4,4,,,8,4/23,16.75,3.65,27.5,0,0,220,134,2022-2022
Najmul Hossain Shanto,27,4,,,1,1/10,40.00,5.45,44.0,0,0,44,40,2022-2022
Nurul Hasan,6,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Nasum Ahmed,7,6,,,8,3/19,22.75,3.73,36.5,0,0,292,182,2022-2022
Basir Ahamad,3,3,,,2,1/18,35.50,3.83,55.5,0,0,111,71,2022-2022
Mitchell Santner,93,88,,,90,5/50,38.58,4.87,47.5,1,0,4277,3473,2022-2022
Jacob Duffy,3,3,,,7,3/52,29.14,7.65,22.8,0,0,160,204,2022-2022
Jonny Bairstow,95,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Joe Root,158,69,,,26,3/52,57.50,5.77,59.7,0,0,1553,1495,2022-2022
Ben Stokes,105,88,,,74,5/61,42.39,6.05,42.0,1,0,3110,3137,2022-2022
Craig Overton,7,7,,,5,2/23,58.20,5.66,61.6,0,0,308,291,2022-2022
Mohammed Shami,90,89,,,162,5/69,25.98,5.60,27.8,1,0,4506,4210,2022-2022
Hardik Pandya,74,69,,,72,4/24,37.65,5.61,40.2,0,0,2896,2711,2022-2022
Mosaddek Hossain,43,41,,,17,3/13,57.00,5.14,66.4,0,0,1130,969,2022-2022
Ben Shikongo,14,14,,,16,3/42,33.75,6.20,32.6,0,0,522,540,2022-2022
Ravindra Jadeja,174,168,,,191,5/36,37.39,4.91,45.6,1,0,8725,7142,2022-2022
Graham Hume,10,10,,,14,4/60,30.64,5.87,31.2,0,0,438,429,2022-2022
Taijul Islam,18,18,,,30,5/28,23.60,4.37,32.4,1,0,972,708,2022-2022
Kishore Mahato,2,2,,,2,2/55,38.00,5.84,39.0,0,0,78,76,2022-2022
Heinrich Klaasen,36,2,,,0,-,-,6.60,-,0,0,30,33,2022-2022
Matthew Potts,1,1,,,0,-,-,8.25,-,0,0,24,33,2022-2022
Anrich Nortje,21,20,,,36,4/51,25.66,5.68,27.1,0,0,976,924,2022-2022
Shubman Gill,24,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Sanju Samson,11,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Axar Patel,51,47,,,58,3/24,31.41,4.52,41.6,0,0,2415,1822,2022-2022
Avesh Khan,5,5,,,3,3/66,71.33,6.02,71.0,0,0,213,214,2022-2022
Michael Jones,12,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Dane Cleaver,1,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mark Chapman,12,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Daryl Mitchell,25,10,,,11,3/25,19.36,5.60,20.7,0,0,228,213,2022-2022
Anamul Haque,44,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Tarisai Musakanda,16,1,,,0,-,-,5.50,-,0,0,12,11,2022-2022
Luke Jongwe,40,37,,,39,5/6,33.41,5.66,35.3,1,0,1379,1303,2022-2022
Victor Nyauchi,10,10,,,7,2/65,50.42,5.26,57.4,0,0,402,353,2022-2022
Tadiwanashe Marumani,12,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Tony Munyonga,6,1,,,0,-,-,10.00,-,0,0,6,10,2022-2022
Brad Evans,15,14,,,13,5/54,40.07,5.96,40.3,1,0,524,521,2022-2022
Hasan Mahmud,13,12,,,20,5/32,25.35,5.54,27.4,1,0,549,507,2022-2022
Ebadot Hossain,12,11,,,22,4/42,22.90,5.60,24.5,0,0,540,504,2022-2022
Clive Madande,9,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Craig Wallace,32,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Sabir Ali,4,4,,,3,2/50,30.33,5.35,34.0,0,0,102,91,2022-2022
Aryan Lakra,16,12,,,6,3/38,46.66,5.28,53.0,0,0,318,280,2022-2022
Ian Holland,15,14,,,19,3/11,24.52,4.45,33.0,0,0,628,466,2022-2022
Jaskaran Malhotra,18,4,,,2,1/17,33.50,3.94,51.0,0,0,102,67,2022-2022
Agha Salman,11,10,,,3,2/42,106.00,5.57,114.0,0,0,342,318,2022-2022
Wesley Barresi,45,3,,,0,-,-,7.40,-,0,0,30,37,2022-2022
Naseem Shah,8,8,,,23,5/33,15.04,4.73,19.0,2,0,438,346,2022-2022
Jessy Singh,24,24,,,25,4/32,37.88,5.29,42.9,0,0,1074,947,2022-2022
Kane Williamson,161,65,,,37,4/22,35.40,5.35,39.6,0,0,1467,1310,2022-2022
Devon Conway,18,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Tim Southee,154,152,,,210,7/33,33.46,5.43,36.9,3,0,7751,7027,2022-2022
Trent Boult,99,99,,,187,7/34,23.97,4.93,29.1,5,0,5453,4484,2022-2022
Jermaine Blackwood,3,1,,,0,-,-,5.33,-,0,0,18,16,2022-2022
Kevin Sinclair,7,7,,,11,4/24,25.63,4.44,34.6,0,0,381,282,2022-2022
Yannic Cariah,8,8,,,9,2/26,38.44,5.91,39.0,0,0,351,346,2022-2022
James Neesham,73,69,,,69,5/27,34.76,6.09,34.2,2,0,2361,2399,2022-2022
Abdullah Shafique,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mitchell Starc,110,110,,,219,6/28,22.09,5.11,25.9,9,0,5676,4839,2022-2022
Damien Ravu,18,17,,,8,2/19,71.75,5.31,81.0,0,0,648,574,2022-2022
Kyle Phillip,5,5,,,6,3/43,40.83,6.04,40.5,0,0,243,245,2022-2022
Ruturaj Gaikwad,1,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Ravi Bishnoi,1,1,,,1,1/69,69.00,8.62,48.0,0,0,48,69,2022-2022
Reeza Hendricks,27,3,,,1,1/13,47.00,6.71,42.0,0,0,42,47,2022-2022
Bjorn Fortuin,5,4,,,6,2/46,29.16,5.64,31.0,0,0,186,175,2022-2022
Shahbaz Ahmed,3,3,,,3,2/32,41.66,4.80,52.0,0,0,156,125,2022-2022
Aayan Afzal Khan,25,25,,,32,4/14,27.34,3.86,42.4,0,0,1358,875,2022-2022
Arjun Saud,9,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Harishankar Shah,3,3,,,0,-,-,5.50,-,0,0,60,55,2022-2022
Lalit Rajbanshi,21,17,,,28,5/20,17.82,3.56,30.0,1,0,840,499,2022-2022
Hazrat Bilal,7,7,,,8,4/47,26.50,4.71,33.7,0,0,270,212,2022-2022
Vishnu Sukumaran,2,1,,,0,-,-,2.00,-,0,0,12,4,2022-2022
James Vince,25,2,,,1,1/18,38.00,5.42,42.0,0,0,42,38,2022-2022
Sam Billings,28,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Liam Dawson,6,5,,,5,2/70,56.80,6.45,52.8,0,0,264,284,2022-2022
Chris Jordan,35,35,,,46,5/29,36.08,6.00,36.0,1,0,1660,1660,2022-2022
Luke Wood,1,1,,,0,-,-,5.90,-,0,0,60,59,2022-2022
Olly Stone,8,7,,,8,4/85,39.62,5.98,39.7,0,0,318,317,2022-2022
Chris Woakes,112,108,,,160,6/45,30.23,5.45,33.2,3,0,5317,4837,2022-2022
Gaudi Toka,22,5,,,3,3/18,36.66,6.66,33.0,0,0,99,110,2022-2022
Kiplin Doriga,39,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Shayan Jahangir,12,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Adam Milne,45,44,,,50,3/49,37.10,5.34,41.6,0,0,2083,1855,2022-2022
Arshdeep Singh,3,2,,,0,-,-,6.75,-,0,0,79,89,2022-2022
Umran Malik,8,7,,,13,3/57,27.30,6.45,25.3,0,0,330,355,2022-2022
Dhananjaya Lakshan,3,3,,,1,1/43,76.00,6.90,66.0,0,0,66,76,2022-2022
Kasun Rajitha,24,24,,,31,3/31,33.87,5.91,34.3,0,0,1065,1050,2022-2022
Lahiru Kumara,26,26,,,34,3/22,33.55,6.42,31.3,0,0,1065,1141,2022-2022
Noor Ahmad,3,3,,,2,1/54,78.00,7.42,63.0,0,0,126,156,2022-2022
Asitha Fernando,5,4,,,1,1/64,202.00,6.73,180.0,0,0,180,202,2022-2022
Brandon McMullen,15,15,,,24,5/34,19.95,4.23,28.2,1,0,678,479,2022-2022
Kuldeep Sen,1,1,,,2,2/37,18.50,7.40,15.0,0,0,30,37,2022-2022
Finn Allen,18,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Devon Conway,18,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Kane Williamson,161,65,,,37,4/22,35.40,5.35,39.6,0,0,1467,1310,2023-2023
Daryl Mitchell,25,10,,,11,3/25,19.36,5.60,20.7,0,0,228,213,2023-2023
Tom Latham,130,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Glenn Phillips,16,6,,,5,1/9,26.20,6.55,24.0,0,0,120,131,2023-2023
Michael Bracewell,19,19,,,15,3/21,42.26,5.15,49.2,0,0,738,634,2023-2023
Mitchell Santner,93,88,,,90,5/50,38.58,4.87,47.5,1,0,4277,3473,2023-2023
Henry Shipley,8,8,,,15,5/31,23.93,5.56,25.8,1,0,387,359,2023-2023
Tim Southee,154,152,,,210,7/33,33.46,5.43,36.9,3,0,7751,7027,2023-2023
Lockie Ferguson,53,53,,,85,5/45,31.04,5.66,32.8,1,0,2795,2639,2023-2023
Fakhar Zaman,70,7,,,1,1/19,111.00,4.93,135.0,0,0,135,111,2023-2023
Imam-ul-Haq,59,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Babar Azam,100,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Mohammad Rizwan,57,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Haris Sohail,45,21,,,11,3/45,55.72,5.72,58.3,0,0,642,613,2023-2023
Agha Salman,11,10,,,3,2/42,106.00,5.57,114.0,0,0,342,318,2023-2023
Naseem Shah,8,8,,,23,5/33,15.04,4.73,19.0,2,0,438,346,2023-2023
Haris Rauf,22,22,,,39,4/65,28.28,5.85,29.0,0,0,1131,1103,2023-2023
Mohammad Wasim,14,14,,,24,4/36,24.20,5.32,27.2,0,0,655,581,2023-2023
Usama Mir,6,6,,,10,4/43,30.70,5.29,34.8,0,0,348,307,2023-2023
Mohammad Nawaz,28,28,,,37,4/19,30.94,4.94,37.5,0,0,1390,1145,2023-2023
Rohit Sharma,243,38,,,8,2/27,64.37,5.21,74.1,0,0,593,515,2023-2023
Shubman Gill,24,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Virat Kohli,274,48,,,4,1/15,166.25,6.22,160.2,0,0,641,665,2023-2023
Shreyas Iyer,42,5,,,0,-,-,6.32,-,0,0,37,39,2023-2023
KL Rahul,54,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Hardik Pandya,74,69,,,72,4/24,37.65,5.61,40.2,0,0,2896,2711,2023-2023
Axar Patel,51,47,,,58,3/24,31.41,4.52,41.6,0,0,2415,1822,2023-2023
Mohammed Shami,90,89,,,162,5/69,25.98,5.60,27.8,1,0,4506,4210,2023-2023
Mohammed Siraj,24,24,,,43,4/32,20.72,4.78,26.0,0,0,1118,891,2023-2023
Pathum Nissanka,34,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Avishka Fernando,29,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Kusal Mendis,106,2,,,0,-,-,8.40,-,0,0,20,28,2023-2023
Charith Asalanka,35,6,,,1,1/3,82.00,5.85,84.0,0,0,84,82,2023-2023
Dhananjaya de Silva,76,62,,,41,3/32,39.31,5.06,46.5,0,0,1910,1612,2023-2023
Dasun Shanaka,61,38,,,23,5/43,34.91,5.69,36.7,1,0,846,803,2023-2023
Wanindu Hasaranga,48,47,,,67,6/24,28.77,5.07,34.0,3,0,2279,1928,2023-2023
Dunith Wellalage,9,8,,,9,3/42,33.66,5.94,34.0,0,0,306,303,2023-2023
Chamika Karunaratne,23,21,,,24,4/43,28.83,5.72,30.2,0,0,725,692,2023-2023
Kasun Rajitha,24,24,,,31,3/31,33.87,5.91,34.3,0,0,1065,1050,2023-2023
Dilshan Madushanka,6,6,,,10,3/15,22.10,5.02,26.4,0,0,264,221,2023-2023
Umran Malik,8,7,,,13,3/57,27.30,6.45,25.3,0,0,330,355,2023-2023
Yuzvendra Chahal,72,69,,,121,6/42,27.13,5.26,30.9,2,0,3739,3283,2023-2023
Ish Sodhi,46,44,,,55,4/58,38.05,5.49,41.5,0,0,2287,2093,2023-2023
Nuwanidu Fernando,4,1,,,0,-,-,11.00,-,0,0,12,22,2023-2023
Lahiru Kumara,26,26,,,34,3/22,33.55,6.42,31.3,0,0,1065,1141,2023-2023
Kuldeep Yadav,81,79,,,134,6/25,27.48,5.21,31.5,1,0,4234,3683,2023-2023
Shan Masood,9,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Mohammad Hasnain,9,9,,,12,5/26,41.41,6.44,38.5,1,0,463,497,2023-2023
Suryakumar Yadav,23,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Ashen Bandara,6,1,,,0,-,-,8.00,-,0,0,6,8,2023-2023
Jeffrey Vandersay,20,19,,,25,4/10,32.08,5.60,34.3,0,0,858,802,2023-2023
Paul Stirling,154,76,,,43,6/55,45.16,4.77,56.7,1,0,2441,1942,2023-2023
Stephen Doheny,9,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Andy Balbirnie,101,3,,,2,1/26,34.00,6.80,30.0,0,0,60,68,2023-2023
Harry Tector,38,6,,,2,1/20,97.50,6.50,90.0,0,0,180,195,2023-2023
George Dockrell,117,102,,,103,4/24,36.79,4.83,45.6,0,0,4706,3790,2023-2023
Curtis Campher,30,27,,,24,3/49,37.83,5.90,38.4,0,0,922,908,2023-2023
Lorcan Tucker,44,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Wessly Madhevere,36,28,,,13,3/36,52.53,5.08,62.0,0,0,806,683,2023-2023
Innocent Kaia,17,2,,,0,-,-,4.71,-,0,0,28,22,2023-2023
Craig Ervine,116,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Gary Ballance,21,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Sikandar Raza,136,107,,,85,4/55,42.48,4.91,51.9,0,0,4412,3611,2023-2023
Ryan Burl,47,31,,,19,5/10,37.42,6.11,36.7,1,0,698,711,2023-2023
Clive Madande,9,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Brad Evans,15,14,,,13,5/54,40.07,5.96,40.3,1,0,524,521,2023-2023
Wellington Masakadza,35,32,,,31,4/21,38.96,4.92,47.4,0,0,1472,1208,2023-2023
Richard Ngarava,39,38,,,47,4/43,34.14,5.37,38.0,0,0,1790,1605,2023-2023
Victor Nyauchi,10,10,,,7,2/65,50.42,5.26,57.4,0,0,402,353,2023-2023
Mark Adair,41,39,,,54,4/19,33.05,5.83,33.9,0,0,1834,1785,2023-2023
Josh Little,32,30,,,48,4/38,31.93,5.92,32.3,0,0,1553,1533,2023-2023
Graham Hume,10,10,,,14,4/60,30.64,5.87,31.2,0,0,438,429,2023-2023
Andy McBrine,82,77,,,84,5/29,34.70,4.52,45.9,1,0,3863,2915,2023-2023
Ishan Kishan,14,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Washington Sundar,16,14,,,16,3/30,27.18,5.05,32.2,0,0,516,435,2023-2023
Shardul Thakur,35,35,,,50,4/52,31.98,6.22,30.8,0,0,1541,1599,2023-2023
Henry Nicholls,66,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Blair Tickner,13,13,,,16,4/50,42.43,6.53,38.9,0,0,623,679,2023-2023
Murray Commins,2,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Tadiwanashe Marumani,12,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Chamu Chibhabha,109,59,,,35,4/25,46.60,5.82,47.9,0,0,1679,1631,2023-2023
Tendai Chatara,87,87,,,115,4/33,32.62,5.29,36.9,0,0,4254,3752,2023-2023
Jacob Duffy,3,3,,,7,3/52,29.14,7.65,22.8,0,0,160,204,2023-2023
Quinton de Kock,140,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Temba Bavuma,26,1,,,0,-,-,3.56,-,0,0,37,22,2023-2023
Rassie van der Dussen,45,1,,,1,1/3,3.00,3.00,6.0,0,0,6,3,2023-2023
Aiden Markram,50,21,,,16,2/18,36.31,5.58,39.0,0,0,624,581,2023-2023
Heinrich Klaasen,36,2,,,0,-,-,6.60,-,0,0,30,33,2023-2023
David Miller,155,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Wayne Parnell,73,69,,,99,5/48,30.40,5.60,32.5,2,0,3224,3010,2023-2023
Sisanda Magala,7,6,,,14,5/43,23.92,6.32,22.7,1,0,318,335,2023-2023
Kagiso Rabada,89,87,,,137,6/16,27.94,5.01,33.4,2,0,4579,3829,2023-2023
Jason Roy,116,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Dawid Malan,18,2,,,1,1/5,17.00,6.80,15.0,0,0,15,17,2023-2023
Ben Duckett,6,-,,,-,-,-,-,-,-,-,-,-,2023-2023
Harry Brook,3,-,,,-,-,-,-,-,-,-,-,-,2023-2023
