,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,100s,50s,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,5w_haul,balls_bowled,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,50_%,100_%,bowling_average,bowling_strikerate,Rank,Combined_Rank,Player_name,Player_link
33,1738.0,1987.0,132.0,42.0,82.9606976744186,4.0,12.0,43.0,KL Rahul,"April 18, 1992, Bangalore, Karnataka",31y 108d,Right hand Bat,,Wicketkeeper Batter,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2014,2023,,,,,,,,,,,,,,32.0,2.0,40.41860465116279,Wicketkeeper Batter,8.75691997986915,27.906976744186046,9.30232558139535,,,1.0,190.53013224272098,KL Rahul,/cricketers/kl-rahul-422108
34,865.0,811.0,90.0,26.0,97.37807692307692,1.0,5.0,26.0,Rishabh Pant,"October 04, 1997, Haridwar, Uttarakhand",25y 304d,Left hand Bat,,Wicketkeeper Batter,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2017,2022,,,,,,,,,,,,,,26.0,1.0,33.26923076923077,Wicketkeeper Batter,14.303329223181258,19.230769230769234,3.8461538461538463,,,2.0,104.33896914138019,Rishabh Pant,/cricketers/rishabh-pant-931581
35,510.0,481.0,52.0,21.0,75.76,1.0,3.0,13.0,Ishan Kishan,"July 18, 1998, Patna, Bihar",25y 17d,Left hand Bat,,Wicketkeeper Batter,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2021,2023,,,,,,,,,,,,,,5.0,2.0,39.23076923076923,Wicketkeeper Batter,15.176715176715177,23.076923076923077,7.6923076923076925,,,3.0,75.67646356447446,Ishan Kishan,/cricketers/ishan-kishan-720471
36,330.0,315.0,25.0,15.0,94.84400000000001,0.0,2.0,10.0,Sanju Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",28y 266d,Right hand Bat,,Wicketkeeper Batter,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2014,2023,,,,,,,,,,,,,,7.0,2.0,33.0,Wicketkeeper Batter,12.698412698412698,20.0,0.0,,,4.0,54.987028148731355,Sanju Samson,/cricketers/sanju-samson-425943
37,256.0,337.0,22.0,3.0,72.94166666666666,0.0,0.0,12.0,Dinesh Karthik,"June 01, 1985, Madras (now Chennai), Tamil Nadu",38y 64d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2004,2022,,,,,,,,,,,,,,64.0,7.0,21.333333333333332,Wicketkeeper Batter,7.418397626112759,0.0,0.0,,,5.0,35.805975198664,Dinesh Karthik,/cricketers/dinesh-karthik-30045
38,1455.0,1154.0,129.0,59.0,133.02717391304347,1.0,8.0,46.0,Glenn Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",34y 294d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2012,2023,226.4,4.0,1272.0,15.0,5.938750000000001,579.0,81.0,27.0,21.0,0.0,0.0,1360.0,40.0,79.0,0.0,31.630434782608695,Batting Allrounder,16.291161178509533,17.391304347826086,2.1739130434782608,84.8,90.66666666666667,1.0,129.9000581505797,Glenn Maxwell,/cricketers/glenn-maxwell-325026
39,847.0,1018.0,52.0,2.0,76.26714285714286,1.0,6.0,28.0,Marnus Labuschagne,"June 22, 1994, Klerksdorp, North West Province, South Africa",29y 43d,Right hand Bat,Legbreak,Batting Allrounder,Australia,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2018,2023,30.5,1.0,197.0,2.0,7.308888888888889,77.0,15.0,5.0,1.0,0.0,0.0,185.0,9.0,12.0,0.0,30.25,Batting Allrounder,5.304518664047151,21.428571428571427,3.571428571428571,98.5,92.5,2.0,75.33959046105336,Marnus Labuschagne,/cricketers/marnus-labuschagne-787987
40,766.0,857.0,67.0,24.0,88.01541666666667,0.0,6.0,24.0,Mitchell Marsh,"October 20, 1991, Attadale, Perth",31y 288d,Right hand Bat,Right arm Medium,Batting Allrounder,Australia,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2011,2023,86.3,4.0,430.0,13.0,5.279999999999999,273.0,33.0,5.0,13.0,2.0,0.0,519.0,19.0,31.0,0.0,31.916666666666668,Batting Allrounder,10.618436406067678,25.0,0.0,33.07692307692308,39.92307692307692,3.0,74.88727332877896,Mitchell Marsh,/cricketers/mitchell-marsh-272450
41,302.0,340.0,22.0,8.0,89.07833333333333,0.0,1.0,12.0,Cameron Green,"June 03, 1999",24y 62d,Right hand Bat,Right arm Fast medium,Batting Allrounder,Australia,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2020,2023,75.0,0.0,377.0,11.0,5.176,245.0,40.0,3.0,7.0,3.0,1.0,450.0,15.0,6.0,0.0,25.166666666666668,Batting Allrounder,8.823529411764707,8.333333333333332,0.0,34.27272727272727,40.90909090909091,4.0,45.39724211481647,Cameron Green,/cricketers/cameron-green-1076713
42,160.0,253.0,15.0,0.0,55.83041666666667,0.0,0.0,24.0,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",31y 126d,Right hand Bat,Legbreak Googly,Bowler,Australia,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,2016,2023,465.0,7.0,2485.0,91.0,5.424230769230769,1255.0,165.0,51.0,28.0,2.0,1.0,2798.0,52.0,16.0,0.0,6.666666666666667,Bowler,5.928853754940711,0.0,0.0,27.307692307692307,30.747252747252748,1.0,0.989550865184349,Adam Zampa,/cricketers/adam-zampa-379504
