,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,100s,50s,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,5w_haul,balls_bowled,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,50_%,100_%,bowling_average,bowling_strikerate,Rank,Combined_Rank,Player_name,Player_link
264,97,104,11,1,91.22,0,0,3,Nurul Hasan,"November 21, 1993, Khulna",29y 256d,Right hand Bat,,Wicketkeeper Batter,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323162.png",2016,2022,,,,,,,,,,,,,,4,3,32.33333333,Wicketkeeper Batter,11.53846154,0,0,,,4,27.14895658,Nurul Hasan,/cricketers/nurul-hasan-410765
265,2146,3005,199,23,61.77525424,3,16,59,Rahmat Shah,"July 06, 1993, Paktia",30y 29d,Right hand Bat,Legbreak Googly,Batting Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320505.png",2013,2023,32,1,194,4,6.956153846,99,19,6,4,1,0,192,13,24,0,36.37288136,Batting Allrounder,7.387687188,27.11864407,5.084745763,48.5,48,1,152.6195544,Rahmat Shah,/cricketers/rahmat-shah-533956
266,109,163,12,2,56.32448276,0,0,29,Mujeeb Ur Rahman,"March 28, 2001, Khost",22y 129d,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320501.png",2017,2023,498.5,31,2039,79,4.235964912,1819,150,32,72,1,1,2997,57,10,0,3.75862069,Bowler,8.588957055,0,0,25.81012658,37.93670886,1,0.884459612,Mujeeb Ur Rahman,/cricketers/mujeeb-ur-rahman-974109
267,7,29,1,0,15.03285714,0,0,7,Fazalhaq Farooqi,"September 22, 2000, Baghlan",22y 316d,Right hand Bat,Left arm Fast medium,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345077.png",2021,2023,118.9,8,610,27,5.115,450,74,7,33,1,0,721,16,1,0,1,Bowler,3.448275862,0,0,22.59259259,26.7037037,2,0.357488433,Fazalhaq Farooqi,/cricketers/fazalhaq-farooqi-974175
268,19,27,0,1,75.23666667,0,0,3,Fareed Ahmad,"August 10, 1994, Nangarahar",28y 359d,Left hand Bat,Left arm Fast medium,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320400/320494.png",2014,2023,67,4,312,14,4.86,236,27,4,12,0,0,402,9,3,0,6.333333333,Bowler,3.703703704,0,0,22.28571429,28.71428571,3,0.230178452,Fareed Ahmad,/cricketers/fareed-ahmad-568136
269,21,28,3,0,106.67,0,0,4,Naveen-ul-Haq,"September 23, 1999, Kabul",23y 315d,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320502.png",2016,2023,43.1,1,245,12,5.686,142,25,5,8,2,0,259,5,2,0,5.25,Bowler,10.71428571,0,0,20.41666667,21.58333333,4,0.2058952,Naveen-ul-Haq,/cricketers/naveen-ul-haq-793447
270,,,,,,,,,Qais Ahmad,"August 15, 2000, Nangarhar",22y 354d,Right hand Bat,Legbreak,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321300/321329.png",2019,2022,7.4,0,32,3,4.17,31,4,1,0,0,0,46,1,0,0,,Bowler,,,,10.66666667,15.33333333,5,0.159496794,Qais Ahmad,/cricketers/qais-ahmad-914171
271,6,13,0,0,33.33333333,0,0,3,Yamin Ahmadzai,"July 25, 1992, Laghman",31y 10d,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/327600/327679.jpg",2015,2023,38.4,2,214,5,5.816,134,31,1,9,0,0,232,5,4,0,2,Bowler,0,0,0,42.8,46.4,6,0.117250148,Yamin Ahmadzai,/cricketers/yamin-ahmadzai-440968
272,,,,,,,,,Zahir Khan,20-Dec-98,24y 227d,Left hand Bat,Left arm Wrist spin,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321300/321325.png",2019,2023,10,0,55,2,5.5,30,5,0,5,0,0,60,1,0,0,,Bowler,,,,27.5,30,7,0.098878788,Zahir Khan,/cricketers/zahir-khan-712219
273,5,8,0,0,121.425,0,0,2,Noor Ahmad,3-Jan-05,18y 213d,Right hand Bat,Left arm Wrist spin,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322161.png",2022,2023,21,0,156,2,7.506666667,48,15,2,10,2,0,126,3,1,0,2.5,Bowler,0,0,0,78,63,8,0.069573756,Noor Ahmad,/cricketers/noor-ahmad-1182529
274,5,30,1,0,16.66,0,0,1,Zia-ur-Rehman,30-Dec-97,25y 217d,Right hand Bat,Slow Left arm Orthodox,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/179000/179065.1.jpg",2023,2023,3.3,0,22,0,6.28,7,2,0,0,0,0,21,1,0,0,5,Bowler,3.333333333,0,0,2000,2000,9,0.048115701,Zia-ur-Rehman,/cricketers/zia-ur-rehman-633374
275,4,20,0,0,20,0,0,1,Abdul Rahman,22-Nov-01,21y 255d,Right hand Bat,Right arm Fast medium,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/334900/334996.png",2023,2023,4,0,27,0,6.75,9,3,0,0,0,0,24,1,0,0,4,Bowler,0,0,0,2000,2000,10,0.044789444,Abdul Rahman,/cricketers/abdul-rahman-819507
276,,,,,,,,,Mohammad Saleem,"September 09, 2002, Baghlan",20y 329d,Right hand Bat,Right arm Fast,Bowler,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347834.4.jpg",2022,2023,10.2,0,70,0,6.98,38,7,1,8,1,0,62,2,1,0,,Bowler,,,,2000,2000,11,0.043324943,Mohammad Saleem,/cricketers/mohammad-saleem-1174749
277,86,126,7,2,62.69333333,0,1,3,Riaz Hassan,"November 07, 2002, Nangarhar",20y 270d,Right hand Bat,,,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/330600/330621.png",2022,2022,,,,,,,,,,,,,,0,0,28.66666667,Bowler,7.142857143,33.33333333,0,,,,,Riaz Hassan,/cricketers/riaz-hassan-1061090
278,1050,1279,70,27,80.20808511,0,6,47,Mohammad Nabi,"January 01, 1985, Loger, Afghanistan",38y 215d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316558.png",2009,2023,440.7,19,1906,60,4.539444444,1420,102,38,34,4,0,2651,54,61,0,22.34042553,Bowling Allrounder,7.584050039,12.76595745,0,31.76666667,44.18333333,1,65.32664434,Mohammad Nabi,/cricketers/mohammad-nabi-25913
279,637,570,54,25,95.90674419,0,3,43,Rashid Khan,"September 20, 1998, Nangarhar",24y 318d,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320506.png",2015,2023,485.8,15,2080,97,4.262222222,1659,141,31,61,0,2,2926,54,27,0,14.81395349,Bowling Allrounder,13.85964912,6.976744186,0,21.44329897,30.16494845,2,52.87556019,Rashid Khan,/cricketers/rashid-khan-793463
280,706,985,66,8,70.10722222,0,2,36,Gulbadin Naib,"June 04, 1991, Logar, Afghanistan",32y 61d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316661.png",2011,2023,270.3,4,1535,41,5.723902439,789,128,28,42,9,1,1627,41,22,0,19.61111111,Bowling Allrounder,7.512690355,5.555555556,0,37.43902439,39.68292683,3,47.56785052,Gulbadin Naib,/cricketers/gulbadin-naib-352048
281,209,337,13,2,66.43923077,0,0,13,Samiullah Shinwari,"December 31, 1987, Nangrahar, Afghanistan",35y 216d,Right hand Bat,Legbreak,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316649.png",2009,2022,21,0,113,1,6.25,59,6,3,1,0,0,126,4,21,0,16.07692308,Bowling Allrounder,4.451038576,0,0,113,126,4,21.56433535,Samiullah Shinwari,/cricketers/samiullah-shinwari-318339
282,121,165,10,4,62.00142857,0,1,7,Azmatullah Omarzai,24-Mar-00,23y 133d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg",2021,2023,67,1,342,6,5.24,211,35,1,15,0,0,402,12,2,0,17.28571429,Bowling Allrounder,8.484848485,14.28571429,0,57,67,5,18.1120692,Azmatullah Omarzai,/cricketers/azmatullah-omarzai-819429
283,48,79,3,1,43.44285714,0,0,7,Sharafuddin Ashraf,10-Jan-95,28y 206d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320508.png",2014,2022,99,4,412,8,4.137857143,342,30,6,2,0,0,594,14,5,0,6.857142857,Bowling Allrounder,5.063291139,0,0,51.5,74.25,6,11.32391203,Sharafuddin Ashraf,/cricketers/sharafuddin-ashraf-633362
284,1,3,0,0,33.33,0,0,1,Shahidullah,"February 06, 1999, Khost",24y 179d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/179000/179055.1.jpg",2021,2022,3,0,16,0,5.33,8,2,0,0,0,0,18,1,1,0,1,Bowling Allrounder,0,0,0,2000,2000,7,5.586751107,Shahidullah,/cricketers/shahidullah-633366
285,1309,1404,117,36,93.05191489,1,10,47,Najibullah Zadran,"February 28, 1993, Logar",30y 157d,Left hand Bat,Right arm Offbreak,Middle order Batter,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316698.png",2012,2023,,,,,,,,,,,,,,39,0,27.85106383,Middle order Batter,10.8974359,21.27659574,2.127659574,,,1,236.157335,Najibullah Zadran,/cricketers/najibullah-zadran-524049
