,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,Rank,Combined_Rank,Is_Captain
22,24.0,40.0,0.0,1.0,47.614999999999995,2.0,Venkatesh Iyer,"December 25, 1994, Indore, Madhya Pradesh",28y 222d,Left hand Bat,Right arm Medium,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Venkatesh_Iyer.png/220px-Venkatesh_Iyer.png,2021,2022,5.0,0.0,28.0,0.0,5.6,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,Bowling Allrounder,2.5,4.0,13.157321428571427,
23,0.0,4.0,0.0,0.0,0.0,1.0,Shahbaz Ahmed,"December 11, 1994, Mewat, Haryana",28y 236d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Shabaz_Ahmed_Senior.jpg/220px-Shabaz_Ahmed_Senior.jpg,2022,2022,26.0,0.0,125.0,3.0,4.766666666666667,75.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,Bowling Allrounder,0.0,5.0,1.1129370629370627,
24,399.0,399.0,43.0,5.0,90.985,20.0,Suryakumar Yadav,"September 14, 1990, Mumbai, Maharashtra",32y 324d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Suryakumar.jpg/220px-Suryakumar.jpg,2021,2023,,,,,,,,,,,,14.0,0.0,19.95,Middle order Batter,12.030075187969924,1.0,43.228265037593985,
25,1266.0,1182.0,145.0,27.0,92.47608695652173,23.0,Shubman Gill,"September 08, 1999, Fazilka, Punjab",23y 330d,Right hand Bat,Right arm Offbreak,Opening Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Shubman_Gill.jpg/220px-Shubman_Gill.jpg,2019,2023,,,,,,,,,,,,15.0,0.0,55.04347826086956,Top order Batter,14.551607445008461,1.0,59.89355403516516,
26,3868.0,3932.0,372.0,40.0,88.94464788732394,71.0,Virat Kohli,"November 05, 1988, Delhi",34y 272d,Right hand Bat,Right arm Medium,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Virat_Kohli_during_the_India_vs_Aus_4th_Test_match_at_Narendra_Modi_Stadium_on_09_March_2023.jpg/220px-Virat_Kohli_during_the_India_vs_Aus_4th_Test_match_at_Narendra_Modi_Stadium_on_09_March_2023.jpg,2008,2023,,,,,,,,,,,,141.0,0.0,54.478873239436616,Top order Batter,10.478128179043743,2.0,57.26499683349333,
27,1469.0,1530.0,144.0,29.0,95.25428571428571,35.0,Shreyas Iyer,"December 06, 1994, Mumbai",28y 241d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Shreyas_Iyer_2021.jpg/220px-Shreyas_Iyer_2021.jpg,2017,2023,5.1,0.0,37.0,0.0,7.0,14.0,2.0,2.0,2.0,0.0,4.0,16.0,0.0,41.97142857142857,Top order Batter,11.30718954248366,3.0,55.6185116713352,
28,3401.0,3537.0,349.0,112.0,84.98338235294118,68.0,Rohit Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 96d,Right hand Bat,Right arm Offbreak,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Rohit_Sharma_during_the_India_vs_Australia_4th_Test_match_at_Narendra_Modi_Stadium.jpg/220px-Rohit_Sharma_during_the_India_vs_Australia_4th_Test_match_at_Narendra_Modi_Stadium.jpg,2007,2023,,,,,,,,,,,,87.0,0.0,50.01470588235294,Top order Batter,13.033644331354255,4.0,54.75691108283857,Yes
29,2752.0,3069.0,355.0,27.0,80.81632352941176,68.0,Shikhar Dhawan,"December 05, 1985, Delhi",37y 242d,Left hand Bat,Right arm Offbreak,Opening Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/SHIKHAR_DHAWAN_%2816005494418%29.jpg/220px-SHIKHAR_DHAWAN_%2816005494418%29.jpg,2010,2022,,,,,,,,,,,,83.0,0.0,40.470588235294116,Top order Batter,12.447051156728577,5.0,49.60299808329979,
30,86.0,83.0,12.0,1.0,85.292,5.0,Mayank Agarwal,"February 16, 1991, Bangalore, Karnataka",32y 169d,Right hand Bat,Right arm Offbreak,Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mayank_agarwal_%28cropped%29.jpg/220px-Mayank_agarwal_%28cropped%29.jpg,2018,2022,1.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,17.2,Top order Batter,15.66265060240964,6.0,44.052462650602415,
31,140.0,182.0,9.0,2.0,68.44800000000001,5.0,Ajinkya Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",35y 59d,Right hand Bat,Right arm Medium,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ajinkya_Rahane_2016_%28cropped%29.jpg/220px-Ajinkya_Rahane_2016_%28cropped%29.jpg,2011,2023,,,,,,,,,,,,48.0,0.0,28.0,Top order Batter,6.043956043956044,7.0,38.690189010989016,
