Player_Name,matches,catches,stumps,odi_year
Shaiman Anwar,40,12,0,2018-2018
Lakshan Sandakan,31,8,0,2018-2018
Amir Hayat,9,4,0,2018-2018
Imran Haider,20,5,0,2018-2018
Abul Hasan,7,1,0,2018-2018
Danushka Gunathilaka,47,14,0,2018-2018
Tom Curran,28,5,0,2018-2018
Shehan Madushanka,1,0,0,2018-2018
Mohammad Mithun,34,7,0,2018-2018
Mehidy Hasan Miraz,77,33,0,2018-2018
David Willey,64,26,0,2018-2018
Jake Ball,18,5,0,2018-2018
Glenn Maxwell,128,79,0,2018-2018
Quinton de Kock,140,183,14,2018-2018
Hashim Amla,181,87,0,2018-2018
Faf du Plessis,143,81,0,2018-2018
Aiden Markram,50,20,0,2018-2018
Jean-Paul Duminy,199,82,0,2018-2018
David Miller,155,69,0,2018-2018
Chris Morris,42,9,0,2018-2018
Andile Phehlukwayo,74,16,0,2018-2018
Kagiso Rabada,89,31,0,2018-2018
Morne Morkel,117,31,0,2018-2018
Rohit Sharma,243,87,0,2018-2018
Shikhar Dhawan,167,83,0,2018-2018
Virat Kohli,274,141,0,2018-2018
Ajinkya Rahane,90,48,0,2018-2018
Hardik Pandya,74,30,0,2018-2018
MS Dhoni,350,321,123,2018-2018
Bhuvneshwar Kumar,121,29,0,2018-2018
Jasprit Bumrah,72,17,0,2018-2018
Yuzvendra Chahal,72,16,0,2018-2018
Kuldeep Yadav,81,12,0,2018-2018
Kedar Jadhav,73,33,0,2018-2018
Imran Tahir,107,25,0,2018-2018
Khaya Zondo,6,1,0,2018-2018
Tabraiz Shamsi,44,8,0,2018-2018
Heinrich Klaasen,36,34,5,2018-2018
Lungi Ngidi,45,11,0,2018-2018
Mohammad Shahzad,84,64,25,2018-2018
Ihsanullah,16,10,0,2018-2018
Rahmat Shah,94,24,0,2018-2018
Asghar Afghan,114,24,0,2018-2018
Nasir Jamal,16,4,0,2018-2018
Najibullah Zadran,88,39,0,2018-2018
Ryan Burl,47,20,0,2018-2018
Brian Vitori,24,4,0,2018-2018
Mujeeb Ur Rahman,61,10,0,2018-2018
Dawlat Zadran,82,16,0,2018-2018
Mohammad Nabi,142,61,0,2018-2018
Gulbadin Naib,76,22,0,2018-2018
Rashid Khan,89,27,0,2018-2018
Shreyas Iyer,42,16,0,2018-2018
AB de Villiers,228,176,5,2018-2018
Tarisai Musakanda,16,12,0,2018-2018
Sharafuddin Ashraf,19,5,0,2018-2018
Farhaan Behardien,59,27,0,2018-2018
Shardul Thakur,35,7,0,2018-2018
Javed Ahmadi,47,11,0,2018-2018
Samiullah Shinwari,84,21,0,2018-2018
Tendai Chisoro,21,6,0,2018-2018
Shapoor Zadran,44,5,0,2018-2018
Ben Stokes,105,49,0,2018-2018
Ish Sodhi,46,10,0,2018-2018
Mark Chapman,12,3,0,2018-2018
Brad Wheal,13,3,0,2018-2018
Vani Morea,13,7,0,2018-2018
Lega Siaka,47,17,0,2018-2018
Assad Vala,66,34,0,2018-2018
Sese Bau,57,20,0,2018-2018
Mahuru Dai,18,8,0,2018-2018
Charles Amini,49,21,0,2018-2018
Jason Kila,13,3,0,2018-2018
Jack Vare,9,6,3,2018-2018
Chad Soper,56,14,0,2018-2018
Norman Vanua,57,16,0,2018-2018
Alei Nao,26,10,0,2018-2018
Nizakat Khan,20,9,0,2018-2018
Aizaz Khan,19,3,0,2018-2018
Babar Hayat,22,11,0,2018-2018
Anshy Rath,18,5,0,2018-2018
Scott McKechnie,8,8,1,2018-2018
Shahid Wasif,10,2,0,2018-2018
Waqas Barkat,10,3,0,2018-2018
Tanwir Afzal,20,3,0,2018-2018
Ehsan Khan,15,3,0,2018-2018
Ehsan Nawaz,12,2,0,2018-2018
Nadeem Ahmed,25,12,0,2018-2018
Tony Ura,61,26,0,2018-2018
Tim Murtagh,58,16,0,2018-2018
Chris Gayle,301,124,0,2018-2018
Evin Lewis,57,20,0,2018-2018
Shimron Hetmyer,47,19,0,2018-2018
Marlon Samuels,207,50,0,2018-2018
Shai Hope,115,120,12,2018-2018
Jason Holder,138,65,0,2018-2018
Ashley Nurse,54,15,0,2018-2018
Chirag Suri,37,10,0,2018-2018
Sheldon Cottrell,38,19,0,2018-2018
Kemar Roach,95,22,0,2018-2018
Jason Mohammed,36,4,0,2018-2018
Nikita Miller,50,18,0,2018-2018
Cephas Zhuwao,9,1,0,2018-2018
Kesrick Williams,8,0,0,2018-2018
Carlos Brathwaite,44,11,0,2018-2018
Rovman Powell,50,15,0,2018-2018
Sean Williams,156,58,0,2018-2018
Keemo Paul,30,15,0,2018-2018
Chris Sole,30,9,0,2018-2018
Kiplin Doriga,39,19,6,2018-2018
John Reva,9,1,0,2018-2018
Damien Ravu,18,2,0,2018-2018
Kinchit Shah,10,1,0,2018-2018
Simandeep Singh,1,0,0,2018-2018
Tanveer Ahmed,6,3,0,2018-2018
Devendra Bishoo,42,7,0,2018-2018
Dylan Budge,17,8,0,2018-2018
Sam Billings,28,19,1,2018-2018
Shaun Marsh,73,22,0,2018-2018
Ashton Agar,21,10,0,2018-2018
Michael Neser,2,0,0,2018-2018
Kane Richardson,25,7,0,2018-2018
Billy Stanlake,7,1,0,2018-2018
D'Arcy Short,8,2,0,2018-2018
Nathan Lyon,29,7,0,2018-2018
Craig Overton,7,4,0,2018-2018
Sam Curran,23,5,0,2018-2018
KL Rahul,54,32,2,2018-2018
Umesh Yadav,75,22,0,2018-2018
Siddarth Kaul,3,1,0,2018-2018
Suresh Raina,226,102,0,2018-2018
Asif Ali,21,6,0,2018-2018
