Ground_link,Team_1_link,Team_2_link,match_link,odi_year
/ci/content/ground/59545.html,/team/afghanistan-40,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-west-indies-21st-match-super-sixes-1133018/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/scotland-30,/team/united-arab-emirates-27,/series/cricket-wc-qualifier-2017-18-1132997/scotland-vs-united-arab-emirates-24th-match-super-sixes-1133019/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/zimbabwe-9,/team/ireland-29,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-ireland-25th-match-super-sixes-1133022/full-scorecard,2018-2018
/ci/content/ground/59547.html,/team/hong-kong-19,/team/papua-new-guinea-20,/series/cricket-wc-qualifier-2017-18-1132997/hong-kong-vs-papua-new-guinea-27th-match-9th-place-play-off-1133023/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/ireland-29,/team/scotland-30,/series/cricket-wc-qualifier-2017-18-1132997/ireland-vs-scotland-28th-match-super-sixes-1133025/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/zimbabwe-9,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-west-indies-29th-match-super-sixes-1133026/full-scorecard,2018-2018
/ci/content/ground/59547.html,/team/afghanistan-40,/team/united-arab-emirates-27,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-united-arab-emirates-30th-match-super-sixes-1133027/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/scotland-30,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/scotland-vs-west-indies-31st-match-super-sixes-1133028/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/zimbabwe-9,/team/united-arab-emirates-27,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-united-arab-emirates-32nd-match-super-sixes-1133029/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/afghanistan-40,/team/ireland-29,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-ireland-33rd-match-super-sixes-1133030/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/afghanistan-40,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-west-indies-final-1133031/full-scorecard,2018-2018
/ci/content/ground/59269.html,/team/scotland-30,/team/england-1,/series/eng-in-scotland-2018-1127281/scotland-vs-england-only-odi-1124639/full-scorecard,2018-2018
/ci/content/ground/57127.html,/team/england-1,/team/australia-2,/series/aus-in-eng-2018-1119525/england-vs-australia-1st-odi-1119537/full-scorecard,2018-2018
/ci/content/ground/56874.html,/team/england-1,/team/australia-2,/series/aus-in-eng-2018-1119525/england-vs-australia-2nd-odi-1119538/full-scorecard,2018-2018
/ci/content/ground/57219.html,/team/england-1,/team/australia-2,/series/aus-in-eng-2018-1119525/england-vs-australia-3rd-odi-1119539/full-scorecard,2018-2018
/ci/content/ground/56901.html,/team/england-1,/team/australia-2,/series/aus-in-eng-2018-1119525/england-vs-australia-4th-odi-1119540/full-scorecard,2018-2018
/ci/content/ground/57160.html,/team/england-1,/team/australia-2,/series/aus-in-eng-2018-1119525/england-vs-australia-5th-odi-1119541/full-scorecard,2018-2018
/ci/content/ground/57219.html,/team/england-1,/team/india-6,/series/india-tour-of-england-2018-1119528/england-vs-india-1st-odi-1119546/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/pakistan-7,/series/pak-in-zim-2018-1142908/zimbabwe-vs-pakistan-1st-odi-1142920/full-scorecard,2018-2018
